id	name	bbx
3025	Vasegerszeg	16.8935386,47.3422518,16.9553438,47.387894
1121	Nemeshetés	16.8945656,46.7813298,16.937325,46.813388
2869	Egervölgy	16.8964593,47.1080308,16.9599024,47.140244
1053	Homokkomárom	16.8975143,46.4811733,16.9762115,46.5435383
2840	Bejcgyertyános	16.898218,47.1216666,17.0194427,47.2077619
2943	Nagygeresd	16.8984147,47.3779862,16.9474908,47.4153583
984	Alsónemesapáti	16.8984259,46.8192071,16.9611318,46.8618292
982	Alibánfa	16.9049719,46.8814734,16.9472365,46.910303
2856	Csehi	16.9083749,47.0242707,16.9605703,47.0683873
2861	Csipkerek	16.9085299,47.0594059,16.9747079,47.124247
2948	Nagytilaj	16.9089597,46.9607359,16.9943283,46.9978339
1065	Kemendollár	16.9095984,46.881736,16.9836869,46.9617709
2611	Csér	16.909718,47.4112078,16.9446573,47.4288798
2841	Bérbaltavár	16.9148617,46.9799119,17.0205099,47.0289758
2593	Agyagosszergény	16.9157986,47.5886969,16.9824632,47.651491
2961	Nyőgér	16.9182482,47.1527258,16.9749742,47.1955861
886	Zákány	16.9184255,46.2391775,16.987076,46.2793084
2902	Jákfa	16.9191754,47.3201935,17.0022567,47.3615357
1112	Nagykanizsa	16.9202725,46.3591273,17.0910568,46.5436884
3002	Sótony	16.9209247,47.1781022,16.9905295,47.2252175
1054	Hosszúvölgy	16.9209505,46.5052182,16.9724194,46.5325797
1144	Pókaszepetk	16.9209588,46.9144442,16.9927922,46.9626464
	Búcsúszentlászló	16.9238205,46.7775867,16.941162,46.8018651
2857	Csehimindszent	16.9242259,47.0340623,16.9964713,47.1284216
1098	Magyarszentmiklós	16.9258945,46.5306288,16.9709052,46.5494979
	Fűzvölgy	16.9271246,46.5206934,16.9716579,46.537898
	Zákányfalu	16.9281885,46.2591532,16.9722295,46.3051591
1149	Pötréte	16.930381,46.6390018,16.9717061,46.6982835
1227	Zalaszentmihály	16.9305933,46.6947056,16.9908758,46.7657217
1119	Nemesapáti	16.931604,46.8241966,16.9888005,46.8833658
2610	Csáfordjánosfa	16.9316739,47.3949301,16.9697255,47.4297497
1125	Nemesszentandrás	16.9337642,46.7475753,16.9660995,46.7807314
1124	Nemessándorháza	16.9339145,46.7517236,16.9908758,46.8136314
1166	Surd	16.9343062,46.2912226,17.0027474,46.3662756
1147	Pölöskefő	16.9344837,46.5832332,16.973608,46.6311426
1058	Kacorlak	16.9369465,46.5610804,16.9766157,46.5887757
3033	Vámoscsalád	16.9394275,47.3785916,16.9957472,47.4187675
1199	Vöckönd	16.9414269,46.877103,16.9657905,46.9025022
2752	Vitnyéd	16.9426088,47.5331531,17.016528,47.6343794
3022	Uraiújfalu	16.9430196,47.3376348,17.0335166,47.3885396
2941	Mikosszéplak	16.9529419,47.0142033,17.0159372,47.0730162
714	Gyékényes	16.9545369,46.2053247,17.0744929,46.2810465
2721	Répceszemere	16.9562008,47.4147621,17.0075766,47.4535945
1074	Kilimán	16.9584829,46.6277205,17.012689,46.6435376
2896	Hosszúpereszteg	16.9596625,47.0378277,17.05164,47.1260658
2662	Kapuvár	16.9598148,47.5455986,17.1087001,47.7082609
1032	Felsőrajk	16.9598444,46.6394673,17.0312634,46.7083318
1113	Nagykapornak	16.9611198,46.7827628,17.0499957,46.8515619
1210	Zalaistvánd	16.9624611,46.881736,17.0121486,46.934877
2614	Dénesfa	16.9629789,47.4360124,17.0565136,47.5028924
1106	Misefa	16.9645052,46.7872665,17.0119371,46.8144887
831	Somogybükkösd	16.9675508,46.2637492,17.0102701,46.3157012
2998	Sitke	16.9683262,47.2262064,17.0761902,47.2848476
1137	Pakod	16.9691088,46.9329391,17.026969,46.9744668
	Himod	16.969148,47.5004696,17.0656483,47.5519941
1123	Nemesrádó	16.9699223,46.7568047,17.0312395,46.7974475
1129	Orbányosfa	16.9702366,46.8402237,16.9997093,46.8778351
1188	Újudvar	16.970832,46.5152119,17.0293481,46.5765766
2906	Káld	16.97124,47.1124211,17.0897343,47.1870279
1040	Gelse	16.9716306,46.5762384,17.0348523,46.6301276
986	Alsórajk	16.9718563,46.6422935,17.0266146,46.6728823
1041	Gelsesziget	16.9756874,46.5616186,17.0348949,46.5839923
2988	Répcelak	16.980695,47.4041411,17.0619384,47.4364264
1095	Liszó	16.9809637,46.32136,17.0589877,46.3964927
1135	Pacsa	16.9810353,46.6867156,17.0723415,46.7416014
